Inlet Flow Rate of Diol,Inlet Flow Rate of Dicarboxylic Acid,Concentration of Diol (ethylene glycol),Concentration of Dicarboxylic Acid (terephthalic acid),Inlet Temperature,Pressure Inside Reactor,Agitation Speed,pH Level,Polyester Yield
47.49080237694725,33.70265857677239,4.523411367471812,4.345405988417796,61.439917565671855,18.936355202774422,314.8256954077822,6.077598909457775,87.28789145120855
59.01428612819832,40.838018947567164,4.493957598144,4.593362794382744,66.10864658599972,19.734356593750213,267.23863621051663,6.373545056462259,98.01742539729867
54.6398788362281,47.45891671752817,5.812509161042073,3.500935797584998,65.20321859580318,23.545473932021803,337.23945633548146,7.662491610179885,101.51427753591861
51.97316968394073,44.644497728191226,4.499092399699013,4.249748199213998,53.07799809387547,18.40004386059892,311.3116239069242,7.533536712676671,93.51673012089238
43.12037280884873,46.131222957229,4.543899452257262,4.143491966287497,52.984989394829476,23.69649684812171,265.72038835569543,6.7012853829142935,84.46865258229434
43.11989040672405,43.175667334214346,5.518796524835928,4.665660753576542,55.36348735489827,15.881344309766915,346.2338057481207,6.753621255548425,89.37835489170057
41.16167224336399,43.84553129035705,4.89947968490108,4.812174120962521,57.22149452682074,22.767984372086307,301.83654633353206,7.067108867107159,85.64562193333106
57.3235229154987,46.983913031306386,5.553421113910362,3.024313542954774,58.16911162816965,23.475476330547366,257.2898451871655,6.000482009370269,98.75472240564984
52.022300234864176,34.99336017718372,4.13073231512877,4.348039838117585,63.59394433666691,16.81817652837339,312.6832904415067,6.482488672076055,89.89630272156397
54.161451555920905,39.78849927286281,4.975142387346769,3.1036715982394583,51.133608643316705,19.303465323722005,275.319890701281,6.416463617216429,91.82634489990862
40.41168988591605,34.42418883639205,4.067227200366565,4.097717330154712,50.69345408452133,16.654997746636557,330.36934518773023,6.500965893499527,77.5553845402348
59.39819704323989,49.75336015993294,4.125306406910709,3.5752654580873564,57.83821125887818,22.066041289942177,331.7822073566191,7.611811685066883,103.82295388229436
56.648852816008436,48.88118679373227,5.812874906688822,3.6135531990442824,63.94327384275961,20.353477680616567,347.89473558546615,6.559347713092887,106.20566410453416
44.246782213565524,30.788536227370116,4.27849074223519,3.705917006904713,53.86870685912965,21.35323346708321,300.1869531024504,6.383042644100296,80.83470261726958
43.63649934414201,44.11150345031377,5.064841364550434,4.242584898099221,62.830089625125034,16.964869669562113,295.49568797277374,7.008526921586063,91.33174553681047
43.66809019706868,48.50496634831332,4.822191205201413,3.6680999313375384,55.19656275880599,17.117458620524197,325.34756054464805,7.731290072745464,90.22769978202743
46.08484485919075,33.61150690254667,4.694686652517685,4.465398101180561,67.72172217627033,15.414973255099063,263.24706563419267,6.482699407675,85.40066231901282
50.49512863264476,41.35890461105259,5.799666691374545,3.809054771147739,67.91379888533233,18.220675351957297,304.69155137931244,6.157072485585598,95.49450719264561
48.638900372842315,48.30976595176084,4.043646793550979,3.136706400619917,55.94574408562653,20.59744661333675,304.6247600130851,6.712809471699329,94.1957981270037
45.82458280396084,30.678919571715976,5.327579372351178,4.5675196849682145,54.59987507926481,23.57934913997329,258.9473122810387,7.495303649129956,80.33238203341074
52.23705789444759,43.9484053449368,5.926788868427101,3.571516649185412,58.22607944132463,21.669274474586807,291.79840855069136,7.101381089389589,95.05214866475197
42.78987721304084,35.946980147451015,5.120336366923684,3.8655337591985255,54.81063170360297,19.353963233997515,335.3284798567202,7.633586739148695,85.95618013482172
45.84289297070436,48.48792390753061,5.873644924066184,4.370887766443803,63.44767686583407,24.531201143941377,335.61536219946606,7.919184295218468,96.24611693312517
47.327236865873836,49.42116490330736,4.104515758572047,3.664912314297424,66.5212936909657,22.19245200575832,259.9237664919681,7.585324953503234,92.10929818087791
49.121399684340716,48.88532978226868,4.837586638148323,3.1131713122934315,63.46184261822434,24.3016520286255,259.0720882747831,7.207606157687507,94.48920833654877
55.70351922786027,39.484284333149276,4.520315581924102,3.747842094025627,66.487008944987,20.275879732721656,276.2695477001935,6.986683176104761,95.96424827275266
43.993475643167194,47.24085301978627,5.461641929961459,4.888897165388607,57.939843244149486,17.589042747931394,337.47660625539936,6.080138172696533,92.68146599068739
50.28468876827223,46.8909879707014,5.962594180994493,4.283468794597116,53.12633941417722,15.52826686364722,262.89025850734987,7.968643957628083,91.71321370746448
51.84829137724085,36.382009464865114,4.513060124888495,4.342958297334414,64.75901894795184,22.260848514838507,321.9996802627446,6.766962245150085,93.85147827377048
40.92900825439995,46.57830948301355,5.308349202948149,4.26456430727528,57.209490102831076,16.213029980055342,260.1165619613103,6.304456427833734,83.59052260831382
52.150897038028766,30.740152694309852,4.396195265519481,3.397984277918874,63.42541650458265,18.02775128271967,312.3137853747825,7.333417710792913,88.9022605957899
